Dimension 1,Dimension 2,url
-21.806429,169.66776,https://cellar.com/privacy.aspx
-19.576813,170.65121,https://chwine.com/about/newsletter
-18.21819,168.70984,https://southaustralia.com/places-to-go/barossa/accommodation
-19.706787,170.67409,https://chwine.com/red-wine/grenache-garnacha
-18.154013,172.27937,https://yakimavalleywinecountry.com/yakima-valley-wineries-member.asp?ID=1487
-20.675581,171.83385,https://reifwinery.com/
-18.648954,170.84436,https://www.merryedwards.com/vineyards/sauvignon-blanc/martinelli-home-ranch/
-18.280378,172.88463,https://www.visityakima.com/
-19.643354,170.80305,https://chwine.com/red-wine?price=15-20
-19.685564,170.62428,https://chwine.com/red-wine?region=416
-19.565199,170.70125,https://chwine.com/wines/featured-wines/award-winning-wines?region=359
-19.849913,169.7648,https://winemag.co.za/wine/page/440/
-19.76327,170.83842,https://chwine.com/customer-service/order-status
-19.49824,170.67973,https://chwine.com/wines/featured-wines
-20.499935,171.6286,https://reifwinery.com/shop/category/whites
-17.151728,170.2634,https://chwine.com/tasting-room/page/38/
-21.356928,168.38248,https://www.riedel.com/en-gb/tastings
-17.787245,171.31282,http://camping.com/top-picks/2302-top-picks-wine-country-vacations
-19.5946,170.65913,https://chwine.com/wines?varietal=465
-19.065891,172.09088,https://greatnorthwestwine.com/category/winereviews/idaho/
-18.805298,171.07817,https://napavintners.com/
-19.893326,169.63814,https://winemag.co.za/wine/page/439/
-19.753016,171.45303,https://mainewine.com/winery/
-18.24388,172.27986,https://yakimavalleywinecountry.com/yakima-valley-wineries-member.asp?ID=661
-19.627054,170.69754,https://chwine.com/red-wine/merlot
-19.563828,170.62288,https://chwine.com/wines?varietal=412
-19.04372,172.39168,https://greatnorthwestwine.com/category/idahowine/
-20.10285,170.85,https://chwine.com/customer-service/reward-points
-21.062935,170.71565,https://merlot.org/merlot/forgotPassword.htm
-20.839106,171.02802,https://winemakermag.com/contact
-19.58821,170.70172,https://chwine.com/red-wine?region=189
-19.823135,169.30917,https://winemag.co.za/wine/
-19.399803,170.70874,https://chwine.com/about
-19.106157,169.97334,https://coonawarra.org/about/
-19.806383,169.00098,https://winemag.co.za/wine/opinion/
-18.493847,169.42334,https://southaustralia.com/travel-blog/barossa-three-day-foodie-itinerary
-17.830948,171.2905,https://lakecounty.com/experience/wine-tasting/
-18.245893,172.23267,https://yakimavalleywinecountry.com/yakima-valley-wineries-member.asp?ID=1173
-19.561817,170.70145,https://chwine.com/wines/featured-wines/award-winning-wines?region=467
-19.583523,170.84973,https://chwine.com/red-wine
-19.522522,170.72632,https://chwine.com/wines/featured-wines/new-releases
-19.515265,170.74313,https://chwine.com/wines?varietal=231
-18.682245,169.51933,https://coonawarra.org/visit-us/
-18.542416,169.99498,https://www.humblegrape.co.uk/wine-bar/islington/
-16.89113,170.18546,https://chwine.com/tasting-room/categories/
-20.327438,171.38292,https://reifwinery.com/shop/detail/chardonnay-kiln-dried-2015
-18.473875,171.02032,https://winecountrygetaways.com/wine-enjoyment-guide/corked-wine-spoiled-wine-tainted-wine/
-19.683788,170.64821,https://chwine.com/red-wine/syrah-shiraz
-15.83058,169.87529,https://de.carta.ro/unterkunft-rusca/
-19.011581,172.30243,https://greatnorthwestwine.com/category/product-reviews/
-20.642498,170.14902,https://chwine.com/list/id/6ba8b912ea
-18.410364,171.0951,https://winecountrygetaways.com/wine-regions/lodi-wineries/
-19.75166,170.59943,https://chwine.com/red-wine/regions/imported
-19.784967,169.25027,https://winemag.co.za/wine/page/4/
-18.518997,171.05232,https://winecountrygetaways.com/eco-friendly-wine-route/
-20.614054,170.01201,https://moneyweekwineclub.com/?
-19.378456,170.88783,https://chwine.com/featured-hosts
-19.012266,172.34502,https://greatnorthwestwine.com/category/podcast/
-19.186546,172.00908,https://historylink.org/File/21046
-21.378523,168.3598,https://www.riedel.com/en-gb/shop/red-wine
-19.508774,170.71317,https://chwine.com/wines/featured-wines/award-winning-wines?occasions=144
-18.983244,172.37701,https://greatnorthwestwine.com/category/news/page/170/
-18.340508,172.36244,https://yakimavalleywinecountry.com/yakima-valley-wineries-member.asp?ID=1513
